ID,Institution,Program,Provisional Track,Route Status,Provisional Eligible,Provisional Status,Coverage,Confidence,Published Provisional Score,Published Provisional Rank,Provisional Warnings,Exclusion Reasons
1,Lund University,MSc Environmental Studies and Sustainability Science (LUMES),research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.51,Insufficient,46.5,4,Programme route is rule-based-provisional: Official extracted evidence contains a required/substantial thesis or original research signal. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
2,University of Toronto,Master of Environment & Sustainability,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,56.4,4,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
3,UCL,"Sustainable Resources: Economics, Policy and Transitions MSc",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,55.8,8,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
4,The University of Edinburgh,MSc Global Strategy and Sustainability,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,59.7,2,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
5,University of British Columbia,Master of Engineering Leadership in Clean Energy Engineering,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,55.5,11,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
6,The London School of Economics and Political Science (LSE),MSc Environmental Policy and Regulation,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,52.6,20,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
7,Imperial College London,"MSc Climate Change, Management & Finance",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,56.9,4,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
8,The University of New South Wales (UNSW Sydney),Master of Environmental Management,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,60,2,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
9,McGill University,MSc Geography - Sustainability Science and Environmental Management research theme,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.51,Insufficient,53.6,2,Programme route is rule-based-provisional: Program Verification Match Type is Research. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
10,The University of Manchester,MSc Environmental Governance,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,61.3,1,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
11,ETH Zurich,MSc Environmental Sciences,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,56.4,4,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
12,The University of Melbourne,Master of Environment,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,55.1,11,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
13,"University of California, Berkeley (UCB)",Master of Climate Solutions,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,56.3,8,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
14,Stanford University,MS Sustainability Science and Practice,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,56.7,4,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete. | Programme Match Type is Restricted.,
15,University of Oxford,"MSc in Sustainability, Enterprise and the Environment",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,55.2,11,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
16,The University of Sydney,Master of Sustainability,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,54.1,16,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
17,Australian National University (ANU),Master of Climate Change,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,52.8,20,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
18,King's College London,"Environment, Politics and Development MSc",taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,56.2,8,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
19,University of Bristol,MSc Environmental Policy and Management,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,55.5,11,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
20,New York University (NYU),MS in Environmental Policy and Sustainability Management,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,53.4,19,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
21,Pennsylvania State University,Master of Professional Studies in Renewable Energy and Sustainability Systems,taught,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.3,Insufficient,52.4,20,Programme route is rule-based-provisional: No verified research-route signal was found; temporarily classified as taught/professional. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
22,KU Leuven,Master of Sustainable Development,research,rule-based-provisional,Yes,Published provisional ranking - limited evidence coverage,0.51,Insufficient,52.1,3,Programme route is rule-based-provisional: Official extracted evidence contains a required/substantial thesis or original research signal. | Evidence coverage is below 55%; the provisional order is strongly influenced by neutral shrinkage and Institution Strength. | Extraction spillover review is incomplete.,
